title,author,star_score,genre,keywords,synopsis,Thumb,day,favorite_count,epi_cnt,completed_date,content
소년의 기록,베어리,9.75057,드라마,"레트로, 하이퍼리얼리즘, 드라마, 완결드라마","소년은 중학교에 입학하게 되고 주변 친구들과 선생님들의 영향을 받으며 살아간다 
1학년 때 친구들과 놀기 좋아하던 밝은 소년은 2학년으로 진학하면서 사춘기를 맞이하게 되고
신체적 정신적으로 많은 변화를 겪게 된다 
축구선수가 꿈이었던 소년은 만화가의 꿈을 키우게 되고 
그 과정에서 여러 번 넘어지고 눈물과 좌절을 반복하지만 
아픔을 딛고 다시 일어서며 꿈과 함께 어른으로 성장해간다",https://image-comic.pstatic.net/webtoon/771720/thumbnail/thumbnail_IMAG21_7017787115861140837.jpg,,21718.0,53.0,22.05.11,"드라마 레트로, 하이퍼리얼리즘, 드라마, 완결드라마 소년은 중학교에 입학하게 되고 주변 친구들과 선생님들의 영향을 받으며 살아간다 
1학년 때 친구들과 놀기 좋아하던 밝은 소년은 2학년으로 진학하면서 사춘기를 맞이하게 되고
신체적 정신적으로 많은 변화를 겪게 된다 
축구선수가 꿈이었던 소년은 만화가의 꿈을 키우게 되고 
그 과정에서 여러 번 넘어지고 눈물과 좌절을 반복하지만 
아픔을 딛고 다시 일어서며 꿈과 함께 어른으로 성장해간다"
블러드레인2: 천외천,MEEN / 백승훈,9.61683,액션,"완결액션, 액션","민백두 유니버스 크로스오버의 완결판 화제의 작품 블러드 레인의 후속작이 다른 주인공과 새로운 사건으로 다시 돌아온다
국내 최대 조직을 무너뜨리기 위한 음모와 진실 그리고 그 뒤에 숨어있는 거대한 흑막
최강의 주먹 이정우 조폭사냥꾼 김종일 윤정임의 동생 윤정희 백발마녀 김성희 등
이들을 통해 보여주는 천외천새로운 세계가 이제 시작된다",https://image-comic.pstatic.net/webtoon/794415/thumbnail/thumbnail_IMAG21_7149242536433246512.jpg,,31035.0,153.0,22.05.09,"액션 완결액션, 액션 민백두 유니버스 크로스오버의 완결판 화제의 작품 블러드 레인의 후속작이 다른 주인공과 새로운 사건으로 다시 돌아온다
국내 최대 조직을 무너뜨리기 위한 음모와 진실 그리고 그 뒤에 숨어있는 거대한 흑막
최강의 주먹 이정우 조폭사냥꾼 김종일 윤정임의 동생 윤정희 백발마녀 김성희 등
이들을 통해 보여주는 천외천새로운 세계가 이제 시작된다"
마지막 지수,에리카 / 채나라,9.94606,로맨스,"삼각관계, 로맨스, 완결로맨스","소설가를 꿈꾸는 주인공 양지수
어느날부터 지수라는 이름만 골라사귀기로 소문난 바람둥이 혜성이 접근해오기 시작한다
이미 남자친구 도혁이 있는 지수는 혜성의 접근이 불쾌할 뿐이지만 
한 가지 수상한 점이 자꾸만 호기심을 자극한다
얘가 어떻게 내 연애사를 낱낱이 알고 있는거지",https://image-comic.pstatic.net/webtoon/765776/thumbnail/thumbnail_IMAG21_7076617804832073011.jpg,,101456.0,66.0,22.05.08,"로맨스 삼각관계, 로맨스, 완결로맨스 소설가를 꿈꾸는 주인공 양지수
어느날부터 지수라는 이름만 골라사귀기로 소문난 바람둥이 혜성이 접근해오기 시작한다
이미 남자친구 도혁이 있는 지수는 혜성의 접근이 불쾌할 뿐이지만 
한 가지 수상한 점이 자꾸만 호기심을 자극한다
얘가 어떻게 내 연애사를 낱낱이 알고 있는거지"
버그: 스티그마,해마 / 송지형,8.02397,판타지,"판타지, 완결판타지","3차 세계대전이 일어났다
최강의 연금술사와 그로 인해 태어난 초능력자들의 액션 판타지
세상에 생긴 오류 이야기 시즌2 버그스티그마",https://image-comic.pstatic.net/webtoon/724431/thumbnail/thumbnail_IMAG21_4063433470580766051.jpg,,55803.0,160.0,22.05.05,"판타지 판타지, 완결판타지 3차 세계대전이 일어났다
최강의 연금술사와 그로 인해 태어난 초능력자들의 액션 판타지
세상에 생긴 오류 이야기 시즌2 버그스티그마"
오징어도 사랑이 되나요?,젤리피쉬 / 문댄스,9.88821,로맨스,"로맨스, 이세계, 4차원, 인외존재, 완결로맨스","오징어와의 정략 결혼은 싫어 인간 왕자님을 만날거야
귀엽고 사랑스러운 울릉도의 오징어 공주는 이웃 나라 징징왕자와의 정략 결혼식을 거부하고 진정한 사랑을 찾아  스스로 미끼를 물어 오징어잡이 배를 탄다 
인간 왕자와의 로맨스를 꿈꾸는 오징어 공주의 앞날은 과연
오징어도 사랑이 되나요",https://image-comic.pstatic.net/webtoon/770524/thumbnail/thumbnail_IMAG21_4064044776762336057.jpg,,89431.0,54.0,22.05.03,"로맨스 로맨스, 이세계, 4차원, 인외존재, 완결로맨스 오징어와의 정략 결혼은 싫어 인간 왕자님을 만날거야
귀엽고 사랑스러운 울릉도의 오징어 공주는 이웃 나라 징징왕자와의 정략 결혼식을 거부하고 진정한 사랑을 찾아  스스로 미끼를 물어 오징어잡이 배를 탄다 
인간 왕자와의 로맨스를 꿈꾸는 오징어 공주의 앞날은 과연
오징어도 사랑이 되나요"
평범한 8반,영파카,9.80185,드라마,"드라마, 완결드라마","안 평범한 아이들이 모인 평범한 8반
고품격 웰메이드 병맛을 느껴보세요",https://image-comic.pstatic.net/webtoon/597478/thumbnail/thumbnail_IMAG21_4135256851458634288.jpg,,625732.0,399.0,22.05.01,"드라마 드라마, 완결드라마 안 평범한 아이들이 모인 평범한 8반
고품격 웰메이드 병맛을 느껴보세요"
푸른불꽃,닺,9.86527,드라마,"2020 지상최대공모전, 드라마, 완결드라마","유년시절 트라우마를 겪은 문가야 새롭게 전학 온 학교에서 완벽한 모범생이자 모두에게 사랑받는 여왕 차애리를 만난다 
위험하면서도 아름다운 그녀에게 가야는 점점 빠져들게 되고 억눌러왔던 내면의 무언가가 깨어나기 시작한다 
이 지옥에서 우린 자유로워질 수 있을까",https://image-comic.pstatic.net/webtoon/768467/thumbnail/thumbnail_IMAG21_7077741278115412019.jpg,,23927.0,55.0,22.04.30,"드라마 2020 지상최대공모전, 드라마, 완결드라마 유년시절 트라우마를 겪은 문가야 새롭게 전학 온 학교에서 완벽한 모범생이자 모두에게 사랑받는 여왕 차애리를 만난다 
위험하면서도 아름다운 그녀에게 가야는 점점 빠져들게 되고 억눌러왔던 내면의 무언가가 깨어나기 시작한다 
이 지옥에서 우린 자유로워질 수 있을까"
불순물,우열,9.8562,스릴러,"2020 지상최대공모전, 스릴러, 완결스릴러","웹툰 작가 병호는 데뷔작을 끝낸 후 1년이 넘도록 차기작을 내지 못하고 있다
그런 병호에게 연쇄 살인마 건민이 찾아온다 그는 병호에게 자신의 일대기를 만화로 제작해보지 않겠냐는 제안을 한다 병호는 주저하지만 소재에 대한 욕심과 건민의 살인 증거를 모아 신고를 하겠다는 정의감으로 제안을 받아들인다 두 마리 토끼를 잡으려는 병호의 계획은 과연 성공할 수 있을 것인가",https://image-comic.pstatic.net/webtoon/771910/thumbnail/thumbnail_IMAG21_3906422316777748066.jpg,,16675.0,43.0,22.04.30,"스릴러 2020 지상최대공모전, 스릴러, 완결스릴러 웹툰 작가 병호는 데뷔작을 끝낸 후 1년이 넘도록 차기작을 내지 못하고 있다
그런 병호에게 연쇄 살인마 건민이 찾아온다 그는 병호에게 자신의 일대기를 만화로 제작해보지 않겠냐는 제안을 한다 병호는 주저하지만 소재에 대한 욕심과 건민의 살인 증거를 모아 신고를 하겠다는 정의감으로 제안을 받아들인다 두 마리 토끼를 잡으려는 병호의 계획은 과연 성공할 수 있을 것인가"
오늘부터 천생연분,달노도 / 노승아,9.92695,로맨스,"소설원작, 로맨스, 완결로맨스","떠오르는 스타이자 오랜 소꿉친구인 소다경과 지민우
스캔들에 휘말려 시작한 공개 비즈니스 연애가 급속도로 결혼까지 발전한다
하지만 일사천리로 진행된 이 결혼 어딘가 수상한데",https://image-comic.pstatic.net/webtoon/761709/thumbnail/thumbnail_IMAG21_3775204184542427489.jpg,,103303.0,73.0,22.04.29,"로맨스 소설원작, 로맨스, 완결로맨스 떠오르는 스타이자 오랜 소꿉친구인 소다경과 지민우
스캔들에 휘말려 시작한 공개 비즈니스 연애가 급속도로 결혼까지 발전한다
하지만 일사천리로 진행된 이 결혼 어딘가 수상한데"
어느날 네가 떠올라!,해영채,9.87175,로맨스,"로맨스, 완결로맨스, 청춘로맨스",내 세계가 너로 인해 조금씩 무거워 지고 있어 학급 아이들에게 공기 취급을 받는 여고생 가람 겉보기에는 완벽하지만 정말로 몸무게가 0g인 비밀을 숨기고 있는 남고생 산들 어느 날 산들은 실수로 넘어지는 바람에 가람 앞에서 하늘로 떠오르게 된다 산들의 비밀을 알게 된 뒤 잔잔했던 가람의 일상은 조금씩 어긋나며 변화하기 사작하는데,https://image-comic.pstatic.net/webtoon/774924/thumbnail/thumbnail_IMAG21_3846696634670331960.jpg,,28912.0,40.0,22.04.27,"로맨스 로맨스, 완결로맨스, 청춘로맨스 내 세계가 너로 인해 조금씩 무거워 지고 있어 학급 아이들에게 공기 취급을 받는 여고생 가람 겉보기에는 완벽하지만 정말로 몸무게가 0g인 비밀을 숨기고 있는 남고생 산들 어느 날 산들은 실수로 넘어지는 바람에 가람 앞에서 하늘로 떠오르게 된다 산들의 비밀을 알게 된 뒤 잔잔했던 가람의 일상은 조금씩 어긋나며 변화하기 사작하는데"
